Threshold,Sample Efficiency,Percent Change
0.0,7.22886092053251e-05,0.0
0.4,7.22886092053251e-05,0.0
0.49,7.22886092053251e-05,0.0
0.5800000000000001,7.228279905927736e-05,-0.008037429564089761
0.67,7.227300900439356e-05,-0.021580441376630285
0.76,7.240231148329473e-05,0.15728934228997668
0.85,7.197805547089302e-05,-0.42960258586521305
0.9400000000000001,7.216962381093686e-05,-0.16459770867949478
1.03,7.208871135164544e-05,-0.27652745830519193
1.12,7.22409727680429e-05,-0.06589757059358067
1.21,6.876597511450184e-05,-4.873014060649226
1.3,6.710866752910737e-05,-7.1656402483894395
