Threshold,Sample Efficiency,Percent Change
0.0,7.245051880970883e-05,0.0
0.15,7.245051880970883e-05,0.0
0.3,7.244708874768371e-05,-0.004734351225453958
0.44999999999999996,7.261877149426867e-05,0.23223116593789764
0.6,7.238962256031672e-05,-0.08405219229975636
0.75,7.01272640861805e-05,-3.206677828809422
0.8999999999999999,6.454816285998013e-05,-10.907245496038781
1.05,5.547258374226584e-05,-23.43383504545427
1.2,2.5031289111389236e-05,-65.45050398171216
1.3499999999999999,0.0,-100.0
1.5,0.0,-100.0
