Threshold,Sample Efficiency,Percent Change
0.0,5.084971676107964e-05,0.0
0.15,5.084971676107964e-05,0.0
0.3,5.08380597363903e-05,-0.022924463363514145
0.44999999999999996,5.082558042075266e-05,-0.04746602707815605
0.6,5.059542173135065e-05,-0.5000913395915415
0.75,5.114516640845202e-05,0.5810251584302148
0.8999999999999999,5.1520222627531354e-05,1.3186029523077265
1.05,5.221595948613774e-05,2.6868246513101908
1.2,5.2880252823930664e-05,3.9932101734049272
1.3499999999999999,5.0817849769731617e-05,-0.06266896529188834
1.5,3.3185840707964604e-05,-34.73741286723344
