Threshold,Sample Efficiency,Percent Change
0.0,5.084971676107964e-05,0.0
0.15,5.084971676107964e-05,0.0
0.3,5.084971676107964e-05,0.0
0.44999999999999996,5.084971676107964e-05,0.0
0.6,5.1148654567999404e-05,0.5878849007642266
0.75,5.114324188305064e-05,0.5772404266284168
0.8999999999999999,5.123283519623619e-05,0.7534327810647523
1.05,5.117160578911096e-05,0.6330202969344629
1.2,5.01629659808515e-05,-1.3505498633451192
1.3499999999999999,4.968715495031284e-05,-2.286269983034839
1.5,3.754198774945663e-05,-26.17070430136347
