50,50,"[0.0, 0.0, -0.07738922647044028, 0.5519258229754864, -0.3225875685183365, -0.673711788647673, -1.1044399858658214, -46.63972812123972, -100.0, -100.0, -100.0]"
50,100,"[0.0, -0.013045445607714678, 0.15537081488448762, 0.3476400472372986, 0.9356817721239239, -2.383667607358245, -7.480601092040261, -46.98134317808197, -100.0, -100.0, -100.0]"
100,50,"[0.0, 0.0, 0.328178455512889, 0.6154474496459343, 0.9687196216294656, -2.258304891105756, -23.52113223822694, -100.0, -100.0, -100.0, -100.0]"
100,100,"[0.0, 0.0, 0.06244808629347247, 0.08613058593585768, 0.1399876574959842, -5.182299137149507, -38.423882096438604, -85.22213740973662, -100.0, -100.0, -100.0]"
