Threshold,Sample Efficiency,Percent Change
0.0,5.084971676107964e-05,0.0
0.4,5.084971676107964e-05,0.0
0.49,5.084971676107964e-05,0.0
0.5800000000000001,5.084971676107964e-05,0.0
0.67,5.084971676107964e-05,0.0
0.76,5.0865786417099445e-05,0.03160225276240665
0.85,5.0865786417099445e-05,0.03160225276240665
0.9400000000000001,5.09416486569929e-05,0.18079136280188934
1.03,5.10166108461044e-05,0.3282104516115973
1.12,5.103409380093952e-05,0.3625920685579972
1.21,5.10012271505281e-05,0.29795719445269947
1.3,5.0152401094799704e-05,-1.3713265494797444
