Threshold,Sample Efficiency,Percent Change
0.0,7.097735822272695e-05,0.0
0.4,7.097735822272695e-05,0.0
0.49,7.097735822272695e-05,0.0
0.5800000000000001,7.054673721340387e-05,-0.6067019400352797
0.67,7.036815804426055e-05,-0.8583021314413022
0.76,7.066213033237373e-05,-0.4441245747186536
0.85,6.900878293601004e-05,-2.7735257214554556
0.9400000000000001,7.112104201863862e-05,0.20243610005995635
1.03,6.634499396863692e-05,-6.526537997587445
1.12,5.617977528089888e-05,-20.848314606741567
1.21,4.024144869215292e-05,-43.303822937625746
1.3,2.232142857142857e-05,-68.55133928571429
