Threshold,Sample Efficiency,Percent Change
0.0,7.097735822272695e-05,0.0
0.4,7.097735822272695e-05,0.0
0.49,7.097735822272695e-05,0.0
0.5800000000000001,7.097735822272695e-05,0.0
0.67,7.098426637394804e-05,0.009732894255398944
0.76,7.05293493098741e-05,-0.6311997573183712
0.85,6.984033875313916e-05,-1.6019467307022417
0.9400000000000001,6.930894900841609e-05,-2.3506217420425695
1.03,6.65645053155828e-05,-6.217268460875388
1.12,5.714804063860668e-05,-19.484125544267048
1.21,4.430811179277437e-05,-37.57430129516019
1.3,0.0,-100.0
