Threshold,Sample Efficiency,Percent Change
0.0,7.097735822272695e-05,0.0
0.4,7.097735822272695e-05,0.0
0.49,7.097735822272695e-05,0.0
0.5800000000000001,7.077928564293562e-05,-0.2790644576679988
0.67,7.031444150452439e-05,-0.9339833642755823
0.76,7.056087250326089e-05,-0.5867867301557357
0.85,6.872718800962957e-05,-3.170264813232891
0.9400000000000001,6.953223767383059e-05,-2.036030341340076
1.03,6.531414369111613e-05,-7.978902953586488
1.12,4.6240794656619287e-05,-34.85134440828909
1.21,2.8612303290414877e-05,-59.68812589413447
1.3,0.0,-100.0
