50,50,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.343408110428431, 7.098487161102067, 17.070793452230365, 59.02497849589311, 99.43076437002694, -100.0, -100.0]"
50,150,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.7234026327042544, 18.916243110645862, 55.74188513132656, 165.27447098087896, 253.72790666047652, -100.0]"
100,50,"[0.0, 0.0, 0.0, 0.0, 1.3432719514390619, 1.3432719514390619, 8.639919805505297, 31.334271227991973, 101.48193260251726, 136.96652686803952, -100.0, -100.0]"
100,150,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.097726853232235, 31.334271227991973, 91.26611422717636, 161.6181270181499, 147.6346182887834, -100.0]"
