Threshold,Sample Efficiency,Percent Change
0.0,7.954394803128729e-08,0.0
0.4,7.954394803128729e-08,0.0
0.49,7.954394803128729e-08,0.0
0.5800000000000001,7.954394803128729e-08,0.0
0.67,7.954394803128729e-08,0.0
0.76,7.954394803128729e-08,0.0
0.85,8.171025000612827e-08,2.7234026327042544
0.9400000000000001,9.45906746206914e-08,18.916243110645862
1.03,1.2388324417180955e-07,55.74188513132656
1.12,2.1100978733730266e-07,165.27447098087896
1.21,2.8136914224616985e-07,253.72790666047652
1.3,0.0,-100.0
