Threshold,Sample Efficiency,Percent Change
0.0,7.954394803128729e-08,0.0
0.4,7.954394803128729e-08,0.0
0.49,7.954394803128729e-08,0.0
0.5800000000000001,7.954394803128729e-08,0.0
0.67,8.061243957425884e-08,1.3432719514390619
0.76,8.061243957425884e-08,1.3432719514390619
0.85,8.641648135132332e-08,8.639919805505297
0.9400000000000001,1.0446846445286383e-07,31.334271227991973
1.03,1.6026668376177961e-07,101.48193260251726
1.12,1.884925309834598e-07,136.96652686803952
1.21,0.0,-100.0
1.3,0.0,-100.0
