Threshold,Sample Efficiency,Percent Change
0.0,4.4242194412842874e-05,0.0
0.4,4.4242194412842874e-05,0.0
0.49,4.4242194412842874e-05,0.0
0.5800000000000001,4.4242194412842874e-05,0.0
0.67,4.4242194412842874e-05,0.0
0.76,4.4398514946224216e-05,0.353329068451369
0.85,4.4398514946224216e-05,0.353329068451369
0.9400000000000001,4.4398514946224216e-05,0.353329068451369
1.03,4.4529015054431544e-05,0.6482965987451345
1.12,4.4529015054431544e-05,0.6482965987451345
1.21,4.4423415608653366e-05,0.409611680016229
1.3,4.452264789783785e-05,0.6339050056557854
