Threshold,Sample Efficiency,Percent Change
0.0,4.4242194412842874e-05,0.0
0.15,4.4242194412842874e-05,0.0
0.3,4.428856689365624e-05,0.10481505591843415
0.44999999999999996,4.4181479950392725e-05,-0.13723203212660856
0.6,4.352732548766726e-05,-1.6158080191612239
0.75,4.337573869756339e-05,-1.958437475307432
0.8999999999999999,4.397889013273629e-05,-0.5951429028351974
1.05,4.1646421878253625e-05,-5.8671875774673
1.2,4.525706010137581e-05,2.2938864177097336
1.3499999999999999,5.102040816326531e-05,15.320699708454821
1.5,3.649635036496351e-05,-17.507820646506765
