Threshold,Sample Efficiency,Percent Change
0.0,4.4242194412842874e-05,0.0
0.15,4.4242194412842874e-05,0.0
0.3,4.4242194412842874e-05,0.0
0.44999999999999996,4.4398514946224216e-05,0.353329068451369
0.6,4.4166645142960454e-05,-0.17076293543995116
0.75,4.386318990339334e-05,-0.8566584783586453
0.8999999999999999,4.323840763381542e-05,-2.268844916824633
1.05,4.3892322870316304e-05,-0.790809649407913
1.2,4.256400482815577e-05,-3.7931879441313305
1.3499999999999999,3.827311696264544e-05,-13.491820488146264
1.5,3.8975501113585745e-05,-11.904231625835186
