Threshold,Sample Efficiency,Percent Change
0.0,7.245051880970883e-05,0.0
0.15,7.245051880970883e-05,0.0
0.3,7.2475704167353e-05,0.03476214947516658
0.44999999999999996,7.272227018718988e-05,0.37508548171312117
0.6,7.214045659983776e-05,-0.4279640987602183
0.75,7.209688525254162e-05,-0.48810355395249105
0.8999999999999999,7.068974478923021e-05,-2.4303125076347505
1.05,5.754758742806552e-05,-20.56980629881456
1.2,2.2779043280182233e-05,-68.55917161889296
1.3499999999999999,0.0,-100.0
1.5,0.0,-100.0
