Threshold,Sample Efficiency,Percent Change
0.0,1.5010645304578246e-07,0.0
0.4,1.4414958187420218e-07,-3.968431103866953
0.49,1.411886178647186e-07,-5.941007198633843
0.5800000000000001,1.382359374116826e-07,-7.908064838810989
0.67,1.362646755507106e-07,-9.221307421640379
0.76,1.3598454709555983e-07,-9.407927283389641
0.85,1.3745813111237648e-07,-8.426234633329347
0.9400000000000001,1.5337802314474368e-07,2.1794999699069515
1.03,1.8237426982746044e-07,21.49662198189194
1.12,2.2681051493547241e-07,51.099776414206
1.21,3.976210898226042e-07,164.8927356249833
1.3,0.0,-100.0
